Date (GMT+5:30),Solar (Energy in GWh/day),Rooftop Solar (Est.) (Energy in GWh/day),Solar (Estimated) (Energy in GWh/day),Mini Hydro (Telemetered) (Energy in GWh/day),Mini Hydro (Estimated) (Energy in GWh/day),Biomass and Waste Heat (Energy in GWh/day),Wind (Energy in GWh/day),Major Hydro (Energy in GWh/day),Oil (IPP) (Energy in GWh/day),Oil (CEB) (Energy in GWh/day),Coal (Energy in GWh/day)
2017-01-01,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.56,4.72,5.06,7.43,13.03
2017-01-02,0.09,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.56,4.51,9.89,8.91,12.49
2017-01-03,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.50,5.38,11.18,9.23,12.91
2017-01-04,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.49,5.09,10.96,9.24,13.02
2017-01-05,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.55,4.63,11.04,8.96,12.99
2017-01-06,0.05,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.43,6.24,9.87,8.62,12.96
2017-01-07,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.42,3.61,9.99,8.51,13.07
2017-01-08,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.51,3.87,7.46,6.71,12.90
2017-01-09,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.30,4.50,10.46,9.44,12.85
2017-01-10,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.26,4.91,10.88,9.42,12.98
2017-01-11,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.18,5.22,10.83,9.13,13.05
2017-01-12,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.35,4.35,8.32,6.70,12.90
2017-01-13,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.60,4.25,10.26,8.05,12.76
2017-01-14,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.42,3.80,7.05,6.85,14.23
2017-01-15,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.50,4.23,4.64,5.52,16.14
2017-01-16,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.70,5.57,7.02,8.77,16.17
2017-01-17,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.67,4.85,7.99,8.87,16.13
2017-01-18,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.71,4.67,7.92,8.74,16.36
2017-01-19,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.67,5.28,8.55,8.11,16.30
2017-01-20,0.05,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.43,4.64,9.46,7.77,16.33
2017-01-21,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.49,3.45,9.60,5.73,17.45
2017-01-22,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.28,2.30,6.14,5.63,17.93
2017-01-23,0.02,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.52,3.78,8.79,6.56,17.87
2017-01-24,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.71,3.47,8.70,5.82,18.31
2017-01-25,0.02,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.41,4.44,5.99,7.28,19.39
2017-01-26,0.05,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.28,3.84,7.48,7.65,19.30
2017-01-27,0.01,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.13,3.66,7.08,6.95,19.33
2017-01-28,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.20,3.28,6.62,5.75,19.35
2017-01-29,0.05,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.42,3.67,4.64,3.14,19.29
2017-01-30,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.46,3.66,8.65,6.00,18.65
2017-01-31,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.40,2.92,8.10,7.28,19.34
2017-02-01,0.06,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.41,3.01,8.26,7.27,19.51
2017-02-02,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.55,4.50,8.62,5.71,19.06
2017-02-03,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.92,2.35,8.14,6.46,19.60
2017-02-04,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.69,2.24,2.27,5.27,19.38
2017-02-05,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.39,2.60,2.36,6.07,19.08
2017-02-06,0.02,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.31,2.00,8.01,7.64,19.12
2017-02-07,0.08,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.30,3.48,7.21,7.44,19.45
2017-02-08,0.11,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.40,3.47,8.33,7.58,19.20
2017-02-09,0.10,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.44,4.07,8.38,6.41,19.32
2017-02-10,0.11,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.37,3.22,2.96,6.68,19.62
2017-02-11,0.13,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.49,3.58,6.04,5.38,19.47
2017-02-12,0.12,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.60,3.00,2.39,6.90,19.61
2017-02-13,0.13,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.62,4.53,7.22,6.98,19.50
2017-02-14,0.08,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.53,3.81,8.71,6.76,19.56
2017-02-15,0.11,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.55,5.23,8.57,5.79,19.50
2017-02-16,0.12,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.12,3.81,8.27,6.51,19.66
2017-02-17,0.13,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.98,3.57,9.11,6.99,19.35
2017-02-18,0.05,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.87,4.44,7.89,7.00,17.13
2017-02-19,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.34,2.63,5.84,5.41,18.64
2017-02-20,0.08,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.11,2.87,9.87,6.70,18.95
2017-02-21,0.13,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.06,3.37,9.82,6.79,19.43
2017-02-22,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.05,3.54,9.36,7.82,19.45
2017-02-23,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.12,3.56,9.82,7.94,19.21
2017-02-24,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.23,3.92,9.45,6.79,19.15
2017-02-25,0.04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.39,3.44,9.33,5.26,19.23
2017-02-26,0.03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.15,3.84,4.97,4.89,18.68
2017-02-27,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.38,3.03,9.37,6.41,18.70
2017-02-28,0.12,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.63,3.19,10.29,7.63,16.18
2017-03-01,0.02,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.43,2.54,8.91,6.89,18.62
2017-03-02,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.72,2.26,9.25,6.56,18.21
2017-03-03,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.18,2.51,9.06,6.62,19.12
2017-03-04,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.16,2.76,9.18,4.33,19.20
2017-03-05,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.09,3.25,4.68,5.13,19.00
2017-03-06,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.20,3.80,9.21,7.15,19.16
2017-03-07,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.15,3.82,10.02,6.77,19.45
2017-03-08,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.05,4.27,9.71,6.59,19.03
2017-03-09,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.06,4.30,10.32,6.32,18.55
2017-03-10,0.13,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.17,3.00,9.53,6.42,19.24
2017-03-11,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.24,3.73,5.67,5.48,19.37
2017-03-12,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.41,4.25,2.09,4.29,17.74
2017-03-13,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.12,4.01,7.05,6.13,18.35
2017-03-14,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.11,4.73,7.07,6.62,18.04
2017-03-15,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.18,5.84,7.28,4.95,18.19
2017-03-16,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.11,4.59,7.00,5.97,18.77
2017-03-17,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.17,4.98,7.56,5.99,18.43
2017-03-18,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.10,3.61,7.54,6.52,18.37
2017-03-19,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.13,4.20,5.28,5.37,17.93
2017-03-20,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.41,4.03,9.45,6.77,18.92
2017-03-21,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.18,3.48,10.47,7.31,19.25
2017-03-22,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.31,3.87,9.96,7.71,19.39
2017-03-23,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.20,3.44,9.52,8.11,19.51
2017-03-24,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.19,4.49,10.61,6.14,19.49
2017-03-25,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.07,3.33,10.52,5.15,19.19
2017-03-26,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.10,2.79,6.79,5.84,18.45
2017-03-27,0.10,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.09,3.20,9.98,8.18,18.71
2017-03-28,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.11,4.17,9.01,7.97,19.27
2017-03-29,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.15,3.89,8.28,7.89,19.02
2017-03-30,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,5.08,6.70,7.60,18.74
2017-03-31,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.12,4.26,8.55,7.95,18.93
2017-04-01,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.10,4.08,6.58,8.31,19.33
2017-04-02,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.23,4.64,1.58,7.76,19.32
2017-04-03,0.21,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.31,4.05,8.13,8.25,17.97
2017-04-04,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.28,4.61,7.25,7.62,18.60
2017-04-05,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.30,4.31,8.16,8.60,18.45
2017-04-06,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.49,4.78,9.44,9.24,17.53
2017-04-07,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.27,5.52,8.85,8.86,18.67
2017-04-08,0.23,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.14,4.53,8.03,8.75,17.97
2017-04-09,0.22,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.14,5.14,9.13,7.62,13.10
2017-04-10,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.31,5.48,9.17,6.62,12.43
2017-04-11,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.37,4.43,10.28,6.67,12.36
2017-04-12,0.09,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.34,6.04,8.32,4.24,11.76
2017-04-13,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.14,4.96,5.59,6.33,9.48
2017-04-14,0.23,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.30,6.98,5.18,4.50,8.80
2017-04-15,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.85,4.70,6.35,5.77,9.32
2017-04-16,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.50,3.78,6.25,6.96,9.17
2017-04-17,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.22,5.80,9.64,9.78,7.20
2017-04-18,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.42,6.86,12.14,10.85,6.40
2017-04-19,0.26,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.05,8.34,12.35,11.10,6.61
2017-04-20,0.27,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.35,7.72,8.74,10.78,12.12
2017-04-21,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A
2017-04-22,0.28,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.12,6.33,7.96,10.44,13.06
2017-04-23,0.27,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.09,5.03,6.18,10.49,13.08
2017-04-24,0.24,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.35,8.43,8.06,10.26,14.41
2017-04-25,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.08,9.13,8.45,10.98,13.09
2017-04-26,0.22,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.95,9.36,8.85,11.13,13.03
2017-04-27,0.27,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.78,8.87,9.12,11.27,13.02
2017-04-28,0.26,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.39,9.71,9.06,11.30,11.37
2017-04-29,0.26,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.38,6.97,8.63,11.71,12.99
2017-04-30,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.22,4.40,6.77,11.34,13.04
2017-05-01,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A
2017-05-02,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A
2017-05-03,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A
2017-05-04,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A
2017-05-05,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.41,7.93,11.05,10.68,11.60
2017-05-06,0.13,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.24,7.36,7.36,10.21,13.07
2017-05-07,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.26,4.43,6.49,9.22,12.91
2017-05-08,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.23,10.50,6.70,9.42,12.47
2017-05-09,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A
2017-05-10,0.24,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.52,4.23,5.43,8.41,12.42
2017-05-11,0.21,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.15,3.81,5.90,8.24,12.63
2017-05-12,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.13,6.21,5.90,9.24,16.64
2017-05-13,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.42,5.31,10.06,7.86,14.26
2017-05-14,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.45,4.08,7.69,4.34,16.28
2017-05-15,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.75,5.39,9.61,6.10,16.70
2017-05-16,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.75,5.20,10.55,6.81,17.02
2017-05-17,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.09,3.86,11.95,7.99,17.12
2017-05-18,0.13,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.84,5.35,8.14,7.06,16.93
2017-05-19,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.83,5.02,8.49,7.73,17.21
2017-05-20,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.27,4.47,8.74,7.86,16.21
2017-05-21,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A
2017-05-22,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.66,5.11,7.63,9.34,17.31
2017-05-23,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.61,4.52,7.62,10.46,16.63
2017-05-24,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.56,5.55,6.07,8.93,16.05
2017-05-25,0.07,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.24,6.82,3.02,7.28,15.41
2017-05-26,0.09,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.47,11.05,0.35,4.29,16.11
2017-05-27,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.03,6.81,2.22,3.89,16.09
2017-05-28,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.57,6.29,1.23,3.69,16.38
2017-05-29,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.52,7.39,3.80,5.25,16.69
2017-05-30,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.56,10.88,3.05,3.24,16.24
2017-05-31,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.39,11.07,3.38,3.32,16.73
2017-06-01,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.05,9.54,3.43,4.52,17.05
2017-06-02,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.93,9.55,2.98,5.34,16.43
2017-06-03,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.92,8.44,1.22,5.65,16.51
2017-06-04,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.12,7.27,0.81,4.28,16.23
2017-06-05,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.36,8.48,3.79,5.76,16.92
2017-06-06,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.45,8.16,5.25,6.63,15.25
2017-06-07,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.74,7.01,7.28,6.88,14.66
2017-06-08,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.12,5.65,0.76,5.13,16.62
2017-06-09,0.20,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.40,6.45,4.44,6.88,16.42
2017-06-10,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.43,6.50,6.74,7.18,13.18
2017-06-11,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.34,6.67,4.06,6.86,12.50
2017-06-12,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.41,7.48,6.40,6.82,16.15
2017-06-13,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.81,7.20,7.71,6.37,16.99
2017-06-14,0.24,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.79,5.96,7.47,6.92,17.54
2017-06-15,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.76,7.25,7.21,6.09,17.38
2017-06-16,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.98,7.38,6.75,5.33,17.61
2017-06-17,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.43,8.95,4.37,5.42,17.47
2017-06-18,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.60,8.04,1.09,6.55,16.51
2017-06-19,0.26,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.22,6.99,6.14,6.97,17.51
2017-06-20,0.22,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.99,7.50,6.27,7.14,17.60
2017-06-21,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A
2017-06-22,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.31,8.18,5.55,7.55,17.26
2017-06-23,0.24,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.45,6.96,4.96,7.93,17.08
2017-06-24,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.59,6.81,5.12,6.80,13.70
2017-06-25,0.20,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.47,9.58,1.14,3.22,17.21
2017-06-26,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.50,6.52,4.79,4.28,17.22
2017-06-27,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.99,7.83,6.98,3.26,17.00
2017-06-28,0.21,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.19,7.63,7.27,2.54,17.32
2017-06-29,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.88,7.38,7.80,4.05,17.50
2017-06-30,0.21,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.45,7.42,8.40,4.37,17.57
2017-07-01,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.49,7.36,5.71,4.12,17.73
2017-07-02,0.24,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.17,5.99,5.12,2.76,17.54
2017-07-03,0.24,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.11,8.41,7.54,5.99,16.03
2017-07-04,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.59,8.71,8.76,6.94,15.63
2017-07-05,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.80,9.15,9.68,7.16,14.08
2017-07-06,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.35,8.86,9.33,7.06,14.14
2017-07-07,0.23,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.34,9.78,7.92,7.62,13.70
2017-07-08,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.46,7.49,4.88,5.48,12.29
2017-07-09,0.12,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.24,7.98,2.19,3.41,13.96
2017-07-10,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.15,10.52,4.95,7.45,11.20
2017-07-11,0.15,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.66,9.55,8.10,8.14,10.64
2017-07-12,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.47,10.51,9.06,9.11,9.81
2017-07-13,0.24,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.65,10.07,8.81,8.94,10.35
2017-07-14,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.17,9.97,8.40,8.99,10.47
2017-07-15,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.07,9.15,6.71,8.83,10.74
2017-07-16,0.26,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.42,7.53,5.72,6.87,10.88
2017-07-17,0.24,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.58,11.75,7.07,7.72,11.19
2017-07-18,0.22,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.43,11.73,5.98,9.25,11.26
2017-07-19,0.14,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.21,10.81,5.42,9.94,11.25
2017-07-20,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.33,10.97,6.37,10.57,10.05
2017-07-21,0.22,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.51,9.16,8.36,9.73,11.25
2017-07-22,0.27,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.17,9.27,6.94,9.92,10.29
2017-07-23,0.18,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.54,9.27,4.81,8.64,9.16
2017-07-24,0.27,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.87,11.29,8.00,9.92,9.60
2017-07-25,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.53,12.10,8.50,10.51,10.22
2017-07-26,0.26,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.86,11.57,8.19,10.16,9.99
2017-07-27,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.11,11.41,9.46,8.87,10.80
2017-07-28,0.16,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.10,7.84,9.19,10.21,11.30
2017-07-29,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.55,6.16,8.90,10.18,11.32
2017-07-30,0.20,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.84,5.78,4.88,10.24,11.26
2017-07-31,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.14,8.19,8.91,10.03,11.11
2017-08-01,0.23,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.48,7.45,8.82,10.13,11.27
2017-08-02,0.26,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.73,7.51,8.43,9.94,11.28
2017-08-03,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.78,7.19,8.88,9.75,11.22
2017-08-04,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.63,7.44,8.77,10.12,11.32
2017-08-05,0.33,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,2.06,6.96,8.00,8.23,11.26
2017-08-06,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.51,9.35,3.46,6.32,11.04
2017-08-07,0.29,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.24,8.49,3.49,5.94,11.02
2017-08-08,0.22,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.89,8.15,7.97,8.89,11.13
2017-08-09,0.22,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.06,7.65,8.01,9.48,12.90
2017-08-10,0.17,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.58,7.75,8.44,9.29,13.59
2017-08-11,0.19,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,1.33,8.57,8.98,5.94,13.69
2017-08-12,0.25,Data N/A,Data N/A,Data N/A,Data N/A,Data N/A,0.42,5.96,8.07,8.70,13.41
