Date,Solar,Rooftop_Solar,Solar_Estimated,Mini_Hydro_Telemetered,Mini_Hydro_Estimated,Biomass_Waste,Wind,Major_Hydro,Oil_IPP,Oil_CEB,Coal,Solar_Total,Mini_Hydro,Total_Generation,Sin_DayOfYear,Cos_DayOfYear,Sin_Month,Cos_Month,Sin_DayOfWeek,Cos_DayOfWeek,IsWeekend,TrendIndex,Roll7_Mean,Roll30_Mean,Roll90_Mean,Roll365_Mean,Roll30_Std,Monthly_Avg,YoY_Delta
2017-01-01,0.03,0.0,0.0,0.0,0.0,0.0,0.56,4.72,5.06,7.43,13.03,0.03,0.0,30.83,0.017201575418260506,0.9998520419557735,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,0.0,30.83,30.83,30.83,,0.0,42.45393935000604,0.0
2017-01-02,0.09,0.0,0.0,0.0,0.0,0.0,0.56,4.51,9.89,8.91,12.49,0.09,0.0,36.45,0.03439806061360801,0.9994082116062598,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,1.0,33.64,33.64,33.64,,3.9739401102684004,42.45393935000604,0.0
2017-01-03,0.04,0.0,0.0,0.0,0.0,0.0,0.5,5.38,11.18,9.23,12.91,0.04,0.0,39.24,0.051584366869408364,0.9986686402879997,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,2.0,35.50666666666667,35.50666666666667,35.50666666666667,,4.283623855257759,42.45393935000604,0.0
2017-01-04,0.04,0.0,0.0,0.0,0.0,0.0,0.49,5.09,10.96,9.24,13.02,0.04,0.0,38.84,0.06875540848113941,0.9976335468520451,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,3.0,36.34,36.34,36.34,,3.874368765790545,42.45393935000604,0.0
2017-01-05,0.06,0.0,0.0,0.0,0.0,0.0,0.55,4.63,11.04,8.96,12.99,0.06,0.0,38.230000000000004,0.08590610426133272,0.9963032375991965,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,4.0,36.718,36.718,36.718,,3.4601257202593105,42.45393935000604,0.0
2017-01-06,0.05,0.0,0.0,0.0,0.0,0.0,0.43,6.24,9.87,8.62,12.96,0.05,0.0,38.17,0.10303137904317879,0.9946781061893646,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,5.0,36.96,36.96,36.96,,3.1510887007509023,42.45393935000604,0.0
2017-01-07,0.06,0.0,0.0,0.0,0.0,0.0,0.42,3.61,9.99,8.51,13.07,0.06,0.0,35.66,0.1201261651823505,0.9927586335250793,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,6.0,36.77428571428572,36.77428571428572,36.77428571428572,,2.9182006850275477,42.45393935000604,0.0
2017-01-08,0.04,0.0,0.0,0.0,0.0,0.0,0.51,3.87,7.46,6.71,12.9,0.04,0.0,31.490000000000002,0.13718540405660057,0.9905453876091833,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,7.0,36.868571428571435,36.11375,36.11375,,3.2847828260458445,42.45393935000604,0.0
2017-01-09,0.06,0.0,0.0,0.0,0.0,0.0,0.3,4.5,10.46,9.44,12.85,0.06,0.0,37.61,0.1542040475626894,0.988039023376751,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,8.0,37.034285714285716,36.28,36.28,,3.1128483740779935,42.45393935000604,0.0
2017-01-10,0.04,0.0,0.0,0.0,0.0,0.0,0.26,4.91,10.88,9.42,12.98,0.04,0.0,38.489999999999995,0.17117705961019986,0.985240282501282,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,9.0,36.92714285714286,36.501,36.501,,3.016883785925103,42.45393935000604,0.0
2017-01-11,0.06,0.0,0.0,0.0,0.0,0.0,0.18,5.22,10.83,9.13,13.05,0.06,0.0,38.47,0.18809941761179758,0.9821499931752291,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,10.0,36.87428571428571,36.68,36.68,,2.9229916181884623,42.45393935000604,0.0
2017-01-12,0.04,0.0,0.0,0.0,0.0,0.0,0.35,4.35,8.32,6.7,12.9,0.04,0.0,32.66,0.20496611396949532,0.9787690698649216,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,11.0,36.07857142857143,36.345,36.345,,3.0189176266277364,42.45393935000604,0.0
2017-01-13,0.04,0.0,0.0,0.0,0.0,0.0,0.6,4.25,10.26,8.05,12.76,0.04,0.0,35.96,0.22177215755648186,0.975098513039961,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,12.0,35.762857142857136,36.315384615384616,36.315384615384616,,2.8923652817507217,42.45393935000604,0.0
2017-01-14,0.04,0.0,0.0,0.0,0.0,0.0,0.42,3.8,7.05,6.85,14.23,0.04,0.0,32.39,0.23851257519407648,0.9711394088771653,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,13.0,35.29571428571428,36.035000000000004,36.035000000000004,,2.9703321492592516,42.45393935000604,0.0
2017-01-15,0.07,0.0,0.0,0.0,0.0,0.0,0.5,4.23,4.64,5.52,16.14,0.07,0.0,31.1,0.2551824131233728,0.9668929289391521,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,14.0,35.239999999999995,35.706,35.706,,3.1330947730866465,42.45393935000604,0.0
2017-01-16,0.07,0.0,0.0,0.0,0.0,0.0,0.7,5.57,7.02,8.77,16.17,0.07,0.0,38.3,0.2717767384711357,0.9623603298276545,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,15.0,35.33857142857143,35.868125,35.868125,,3.095547810969814,42.45393935000604,0.0
2017-01-17,0.04,0.0,0.0,0.0,0.0,0.0,0.67,4.85,7.99,8.87,16.13,0.04,0.0,38.55,0.2882906407095177,0.9575429528116719,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,16.0,35.347142857142856,36.02588235294118,36.02588235294118,,3.0670182156769332,42.45393935000604,0.0
2017-01-18,0.07,0.0,0.0,0.0,0.0,0.0,0.71,4.67,7.92,8.74,16.36,0.07,0.0,38.47,0.3047192331091634,0.9524422234305676,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,17.0,35.347142857142856,36.16166666666666,36.16166666666666,,3.030700268526576,42.45393935000604,0.0
2017-01-19,0.04,0.0,0.0,0.0,0.0,0.0,0.67,5.28,8.55,8.11,16.3,0.04,0.0,38.95,0.321057654185271,0.9470596510722283,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,18.0,36.24571428571428,36.30842105263158,36.30842105263158,,3.0139771862992206,42.45393935000604,0.0
2017-01-20,0.05,0.0,0.0,0.0,0.0,0.0,0.43,4.64,9.46,7.77,16.33,0.05,0.0,38.68,0.3373010691361842,0.9413968285264122,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,19.0,36.63428571428572,36.427,36.427,,2.9811356013580146,42.45393935000604,0.0
2017-01-21,0.03,0.0,0.0,0.0,0.0,0.0,0.49,3.45,9.6,5.73,17.45,0.03,0.0,36.75,0.3534446712740877,0.9354554315134164,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,20.0,37.25714285714286,36.44238095238095,36.44238095238095,,2.90650633022174,42.45393935000604,0.0
2017-01-22,0.03,0.0,0.0,0.0,0.0,0.0,0.28,2.3,6.14,5.63,17.93,0.03,0.0,32.31,0.3694836834473831,0.9292372181882051,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,21.0,37.43,36.25454545454546,36.25454545454546,,2.970136644720523,42.45393935000604,0.0
2017-01-23,0.02,0.0,0.0,0.0,0.0,0.0,0.52,3.78,8.79,6.56,17.87,0.02,0.0,37.54,0.38541335945432564,0.9227440286201427,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,22.0,37.32142857142857,36.310434782608695,36.310434782608695,,2.914201088495734,42.45393935000604,0.0
2017-01-24,0.03,0.0,0.0,0.0,0.0,0.0,0.71,3.47,8.7,5.82,18.31,0.03,0.0,37.04,0.4012289854475009,0.9159777842484877,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,23.0,37.105714285714285,36.34083333333333,36.34083333333333,,2.8540328700259225,42.45393935000604,0.0
2017-01-25,0.02,0.0,0.0,0.0,0.0,0.0,0.41,4.44,5.99,7.28,19.39,0.02,0.0,37.53,0.4169258813287287,0.908940487313808,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,0.0,24.0,36.971428571428575,36.388400000000004,36.388400000000004,,2.8040457081391046,42.45393935000604,0.0
2017-01-26,0.05,0.0,0.0,0.0,0.0,0.0,0.28,3.84,7.48,7.65,19.3,0.05,0.0,38.6,0.4324994021339788,0.901634220265486,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,25.0,36.92142857142858,36.473461538461535,36.473461538461535,,2.7814182602516895,42.45393935000604,0.0
2017-01-27,0.01,0.0,0.0,0.0,0.0,0.0,0.13,3.66,7.08,6.95,19.33,0.01,0.0,37.16,0.44794493940789115,0.8940611451454876,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.0,26.0,36.70428571428572,36.49888888888889,36.49888888888889,,2.730603389691529,42.45393935000604,0.0
2017-01-28,0.06,0.0,0.0,0.0,0.0,0.0,0.2,3.28,6.62,5.75,19.35,0.06,0.0,35.260000000000005,0.4632579225674917,0.88622350294858,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,27.0,36.49142857142857,36.45464285714286,36.45464285714286,,2.6897686560892966,42.45393935000604,0.0
2017-01-29,0.05,0.0,0.0,0.0,0.0,0.0,0.42,3.67,4.64,3.14,19.29,0.05,0.0,31.21,0.4784338202547012,0.8781236129591848,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,28.0,36.33428571428571,36.27379310344828,36.27379310344828,,2.8151305650932366,42.45393935000604,0.0
2017-01-30,0.03,0.0,0.0,0.0,0.0,0.0,0.46,3.66,8.65,6.0,18.65,0.03,0.0,37.45,0.49346814167723735,0.8697638720650646,0.49999999999999994,0.8660254037844387,0.0,1.0,0.0,29.0,36.32142857142858,36.313,36.313,36.313,2.7744911307269944,42.45393935000604,0.0
2017-01-31,0.06,0.0,0.0,0.0,0.0,0.0,0.4,2.92,8.1,7.28,19.34,0.06,0.0,38.1,0.5083564379375122,0.8611467540480452,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.0,30.0,36.472857142857144,36.55533333333334,36.37064516129032,36.37064516129032,2.590463589629354,42.45393935000604,0.0
2017-02-01,0.06,0.0,0.0,0.0,0.0,0.0,0.41,3.01,8.26,7.27,19.51,0.06,0.0,38.519999999999996,0.5230943033491326,0.8522748088519838,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.0,31.0,36.614285714285714,36.62433333333333,36.4378125,36.4378125,2.615013263411122,43.45024643109157,0.0
2017-02-02,0.07,0.0,0.0,0.0,0.0,0.0,0.55,4.5,8.62,5.71,19.06,0.07,0.0,38.51,0.5376773767406141,0.8431506618282,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.0,32.0,36.60142857142857,36.6,36.50060606060606,36.50060606060606,2.5931394898449054,43.45024643109157,0.0
2017-02-03,0.07,0.0,0.0,0.0,0.0,0.0,0.92,2.35,8.14,6.46,19.6,0.07,0.0,37.540000000000006,0.5521013427459208,0.8337770129585915,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,33.0,36.65571428571429,36.556666666666665,36.531176470588235,36.531176470588235,2.5651273186568213,43.45024643109157,0.0
2017-02-04,0.07,0.0,0.0,0.0,0.0,0.0,0.69,2.24,2.27,5.27,19.38,0.07,0.0,29.919999999999998,0.5663619330814524,0.8241566360566663,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,1.0,34.0,35.892857142857146,36.27966666666667,36.342285714285715,36.342285714285715,2.8147388968554905,43.45024643109157,0.0
2017-02-05,0.07,0.0,0.0,0.0,0.0,0.0,0.39,2.6,2.36,6.07,19.08,0.07,0.0,30.57,0.580454927809098,0.8142923779467267,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.0,35.0,35.80142857142857,36.02633333333333,36.18194444444444,36.18194444444444,2.976120459340608,43.45024643109157,0.0
2017-02-06,0.02,0.0,0.0,0.0,0.0,0.0,0.31,2.0,8.01,7.64,19.12,0.02,0.0,37.1,0.5943761565849831,0.804187157621448,0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,36.0,35.75142857142857,36.074333333333335,36.20675675675676,36.20675675675676,2.981615719513596,43.45024643109157,0.0
2017-02-07,0.08,0.0,0.0,0.0,0.0,0.0,0.3,3.48,7.21,7.44,19.45,0.08,0.0,37.96,0.6081214998935418,0.7938439653781019,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.0,37.0,35.73142857142857,36.28999999999999,36.2528947368421,36.2528947368421,2.870511188405058,43.45024643109157,0.0
2017-02-08,0.11,0.0,0.0,0.0,0.0,0.0,0.4,3.47,8.33,7.58,19.2,0.11,0.0,39.09,0.6216868902665479,0.7832658619336791,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.0,38.0,35.81285714285715,36.339333333333336,36.325641025641026,36.325641025641026,2.906471890552996,43.45024643109157,0.0
2017-02-09,0.1,0.0,0.0,0.0,0.0,0.0,0.44,4.07,8.38,6.41,19.32,0.1,0.0,38.72,0.6350683134867438,0.7724559775191742,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.0,39.0,35.84285714285714,36.347,36.3855,36.3855,2.912637328418447,43.45024643109157,0.0
2017-02-10,0.11,0.0,0.0,0.0,0.0,0.0,0.37,3.22,2.96,6.68,19.62,0.11,0.0,32.96,0.6482618097757122,0.7614175109532997,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,40.0,35.18857142857143,36.163333333333334,36.3019512195122,36.3019512195122,2.9476634034824754,43.45024643109157,0.0
