Date,CI_Low,Forecast_GWh,CI_High,Solar_Total,Mini_Hydro,Biomass_Waste,Wind,Major_Hydro,Oil_IPP,Oil_CEB,Coal
2026-04-14,51.0768,56.613,59.7439,15.5929,2.6434,0.2365,1.4524,17.3401,3.5978,4.1983,11.5518
2026-04-15,51.1057,56.5941,59.2504,15.5876,2.6425,0.2364,1.4519,17.3343,3.5966,4.1969,11.5479
2026-04-16,51.2057,55.8997,59.0858,15.3964,2.61,0.2335,1.4341,17.1216,3.5525,4.1454,11.4062
2026-04-17,51.4817,56.2468,58.8974,15.492,2.6263,0.2349,1.443,17.2279,3.5746,4.1711,11.477
2026-04-18,51.1952,54.3103,56.5467,14.9586,2.5358,0.2269,1.3933,16.6348,3.4515,4.0275,11.0819
2026-04-19,50.6898,51.9062,52.3835,14.2965,2.4236,0.2168,1.3317,15.8984,3.2987,3.8492,10.5913
2026-04-20,51.4345,56.3776,59.7992,15.528,2.6324,0.2355,1.4464,17.268,3.5829,4.1808,11.5037
2026-04-21,51.5006,57.8077,59.8371,15.9219,2.6991,0.2415,1.4831,17.706,3.6738,4.2869,11.7955
2026-04-22,51.5006,57.0027,59.6931,15.7002,2.6615,0.2381,1.4624,17.4594,3.6226,4.2272,11.6313
2026-04-23,51.624,57.0907,59.3925,15.7244,2.6657,0.2385,1.4647,17.4864,3.6282,4.2337,11.6492
2026-04-24,51.5062,56.7883,59.112,15.6411,2.6515,0.2372,1.4569,17.3938,3.609,4.2113,11.5875
2026-04-25,51.442,54.4622,56.6115,15.0005,2.5429,0.2275,1.3972,16.6813,3.4611,4.0388,11.1129
2026-04-26,50.6974,52.0142,52.4021,14.3262,2.4286,0.2173,1.3344,15.9315,3.3056,3.8572,10.6134
2026-04-27,51.486,57.3356,59.925,15.7919,2.6771,0.2395,1.4709,17.5614,3.6437,4.2519,11.6992
2026-04-28,51.4935,57.6037,60.0509,15.8657,2.6896,0.2406,1.4778,17.6435,3.6608,4.2717,11.7539
2026-04-29,51.4982,57.9131,59.854,15.9509,2.7041,0.2419,1.4858,17.7383,3.6805,4.2947,11.817
2026-04-30,51.4982,57.1877,59.637,15.7511,2.6702,0.2389,1.4671,17.5161,3.6344,4.2409,11.669
2026-05-01,51.4722,56.5963,59.1951,15.5883,2.6426,0.2364,1.452,17.335,3.5968,4.197,11.5483
2026-05-02,51.442,54.4904,56.5902,15.0082,2.5442,0.2276,1.3979,16.6899,3.4629,4.0409,11.1186
2026-05-03,50.707,52.1522,52.4166,14.3642,2.4351,0.2178,1.338,15.9738,3.3143,3.8675,10.6415
2026-05-04,51.4813,57.7591,59.9326,15.9085,2.6969,0.2413,1.4818,17.6911,3.6707,4.2833,11.7856
2026-05-05,51.4935,57.4548,60.0613,15.8247,2.6827,0.24,1.474,17.5979,3.6513,4.2607,11.7235
2026-05-06,51.6869,57.5439,59.834,15.8493,2.6868,0.2404,1.4763,17.6252,3.657,4.2673,11.7417
2026-05-07,51.4935,56.9086,59.3212,15.6743,2.6572,0.2377,1.46,17.4306,3.6166,4.2202,11.6121
2026-05-08,51.5062,57.0396,59.0003,15.7104,2.6633,0.2383,1.4633,17.4707,3.6249,4.2299,11.6388
2026-05-09,51.442,54.7313,56.6838,15.0746,2.5555,0.2286,1.4041,16.7637,3.4782,4.0587,11.1678
2026-05-10,50.707,52.0846,52.4247,14.3456,2.4319,0.2176,1.3362,15.9531,3.31,3.8625,10.6277
2026-05-11,51.4081,57.2517,59.8819,15.7688,2.6732,0.2391,1.4688,17.5357,3.6384,4.2456,11.6821
2026-05-12,51.3867,57.8483,59.9239,15.9331,2.701,0.2416,1.4841,17.7184,3.6763,4.2899,11.8038
2026-05-13,51.4595,57.5471,59.8716,15.8501,2.687,0.2404,1.4764,17.6262,3.6572,4.2675,11.7424
2026-05-14,51.4935,57.6422,59.6335,15.8763,2.6914,0.2408,1.4788,17.6553,3.6632,4.2746,11.7618
2026-05-15,51.5062,56.1582,58.9867,15.4676,2.6221,0.2346,1.4407,17.2008,3.5689,4.1645,11.459
2026-05-16,51.442,54.6702,56.6719,15.0578,2.5526,0.2284,1.4026,16.745,3.4744,4.0542,11.1553
2026-05-17,50.7063,52.0526,52.423,14.3368,2.4304,0.2174,1.3354,15.9433,3.308,3.8601,10.6212
2026-05-18,51.4365,57.6206,59.8175,15.8704,2.6904,0.2407,1.4783,17.6487,3.6619,4.273,11.7574
2026-05-19,51.6238,57.9039,59.9868,15.9484,2.7036,0.2419,1.4855,17.7355,3.6799,4.294,11.8152
2026-05-20,51.4935,57.7957,59.9108,15.9186,2.6986,0.2414,1.4827,17.7023,3.673,4.286,11.7931
2026-05-21,51.4935,56.9686,59.5887,15.6908,2.66,0.238,1.4615,17.449,3.6204,4.2246,11.6243
2026-05-22,51.5062,56.5295,58.9564,15.5699,2.6395,0.2361,1.4503,17.3145,3.5925,4.1921,11.5347
2026-05-23,51.442,54.6544,56.6832,15.0534,2.5519,0.2283,1.4022,16.7402,3.4734,4.053,11.1521
